CH3,0.8853000,1.0893000,0.0052000,58.5875000,0.6699000,-14.4011000,-57.2760000,1.0523000,0.3008000,21.7458000,2.2643000,2.0701000,-0.1822000,7.5697000,1.9996000,2.2105000,-2.1040000,0.0077000,0.0241000
CH2,0.5815000,3.4607000,0.0087000,56.5948000,0.2992000,8.1227000,-20.8404000,2.6577000,0.4352000,11.5194000,4.7607000,2.3353000,0.6185000,-0.0018000,-0.1492000,-0.2150000,-0.1540000,0.0047000,0.0165000
CH,-0.0039000,4.6670000,0.0123000,46.1415000,-0.2943000,25.9816000,7.3487000,0.4978000,0.3837000,-5.1205000,5.0336000,1.6963000,0.2664000,-7.7208000,-2.7099000,-2.6826000,1.1153000,0.0005000,0.0086000
C,-0.4985000,6.6186000,0.0150000,36.5473000,-0.0430000,51.2378000,38.4721000,-0.5662000,0.6325000,-19.7535000,5.1448000,0.8251000,0.0320000,-15.4498000,-4.7191000,-6.4821000,1.9577000,-0.0069000,0.0007000
CH2=CH,1.4381000,5.2032000,0.0109000,100.5126000,1.0511000,79.1413000,42.9281000,1.1842000,0.5059000,32.1079000,5.4644000,4.1230000,0.8081000,7.6415000,2.4926000,2.7673000,-2.6837000,0.0098000,0.0347000
CH=CH,1.1867000,8.2561000,0.0155000,97.8555000,0.9974000,93.1905000,68.7360000,5.0742000,0.7652000,20.4241000,8.1390000,4.1052000,1.7154000,-0.0393000,-0.1344000,0.8631000,-0.7619000,0.0101000,0.0269000
CH2=C,1.0223000,7.3562000,0.0138000,93.5562000,0.7252000,85.5619000,63.3152000,2.5470000,0.6909000,11.6312000,7.3334000,3.3750000,1.0404000,-0.1038000,0.0444000,1.0623000,-1.3323000,0.0026000,0.0264000
CH=C,0.7960000,10.0151000,0.0197000,93.1129000,0.3942000,107.0623000,95.6578000,3.9264000,0.7270000,0.2590000,8.7141000,3.9363000,0.8931000,-6.9792000,-1.2242000,-0.1204000,1.2028000,0.0016000,0.0161000
C=C,0.4825000,13.5343000,0.0470000,109.4707000,0.2490000,128.5800000,125.2762000,4.0203000,0.7043000,-9.8452000,10.7625000,4.0746000,1.3878000,-14.4343000,-6.5194000,-2.9995000,1.9713000,-0.0112000,0.0132000
CH2=C=CH,2.2128000,11.0153000,0.0123000,133.1546000,1.7798000,213.5337000,184.0134000,6.6534000,0.0000000,0.0000000,11.3320000,6.5314000,1.4470000,7.8035000,2.4810000,3.6733000,-3.3243000,0.0130000,0.0428000
CH2=C=C,1.7877000,12.6592000,0.0195000,145.8207000,1.6984000,227.6405000,208.4542000,7.6250000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-0.0395000,-1.4993000,0.0791000,-1.5972000,0.0054000,0.0359000
C=C=C,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
